Payer name ,Vs,Stadium,World Cup match ,Runs,Score Fifty,True/false
Mohd Hafeez,England,Bristol,no,16,no,f
Mohd Hafeez,South africa,Wanderers Stadium,no,15,no,f
Mohd Hafeez,Bangladaesh,gymkhana club ground,no,*10,no,f
Mohd Hafeez,kenya,gymkhana club ground,no,42,no,f
Mohd Hafeez,Scotland,Kingsmead,no,11,no,f
Mohd Hafeez,India,Kingsmead,no,20,no,f
Mohd Hafeez,Srilanka ,Wanderers Stadium,no,*57,Yes,T
Mohd Hafeez,Austarlia,Wanderers Stadium,no,52,yes,T
Mohd Hafeez,Bangladaesh,national stadium karachi,no,21,no,f
Mohd Hafeez,newzland,newland,no,26,no,f
Mohd Hafeez,Canada,maple leaf ground,no,42,no,f
Mohd Hafeez,Srilanka ,The Oval,no,20,no,f
Mohd Hafeez,austarlia ,duabai,no,0,no,f
Mohd Hafeez,england,Bristol,no,20,no,f
Mohd Hafeez,Srilanka ,Lords,no,24,no,f
Mohd Hafeez,newzland,Duabi,no,7,no,f
Mohd Hafeez,Austarlia,melborne stadium,no,3,no,f
Mohd Hafeez,Srilanka ,R premadasa stadium,no,28,no,f
Mohd Hafeez,India,m chinnaswami stadium,no,57,yes,t
Mohd Hafeez,India,sardar patel stadium,no,3*,no,f
Mohd Hafeez,South africa,super sport park,no,7,no,f
Mohd Hafeez,South africa,dubai international stadium,no,12,no,f
Mohd Hafeez,South africa,dubai international stadium,no,15,no,f
Mohd Hafeez,Srilanka ,R premadasa stadium,no,46*,no,f
Mohd Hafeez,Srilanka ,R premadasa stadium,no,8,no,f
Mohd Hafeez,Zimbabwe, Harare stadium,no,35,no,f
Mohd Hafeez,Zimbabwe,Harae Stadium,no,15,no,f
Mohd Hafeez,england,Sharja cricket stadium,no,45,Yes,t
Mohd Hafeez,newzland,eden park,no,20,no,f
Mohd Hafeez,newzland,seddon park,no,39,no,f
Mohd Hafeez,newzland,westpac stadium ,no,14,no,f
Mohd Hafeez,India,Shere Bangla stadium,Yes,4,no,f
Mohd Hafeez,UAE,Shere Bangla stadium,yes,63*,yes,T
Mohd Hafeez,bangladesh,Shere Bangla stadium,yes,41,no,F
Mohd Hafeez,Srilanka ,Shere Bangla stadium,yes,13*,no,f
Mohd Hafeez,bangladesh,eden park,no,15*,no,f
Mohd Hafeez,India,eden park,no,26,no,f
Mohd Hafeez,newzland,punjab cricket stadium association,no,15*,no,f
Mohd Hafeez,Austarlia,punjab cricket stadium association,no,40*,no,f
Mohd Hafeez,westinidies,kensingston Oval,no,38*,no,f
Mohd Hafeez,westindies,sheikh zayed stadium,no,46*,no,f
Mohd Hafeez,ICC worl XI,Gaddafi stadium ,no,28,no,f
Mohd Hafeez,ICC worl XI,Gaddafi stadium ,no,39,no,f
Mohd Hafeez,ICC worl XI,Gaddafi stadium ,no,17*,no,f
Mohd Hafeez,Srilanka ,sheikh zayed stadium,no,9,no,f
Mohd Hafeez,Srilanka ,Gaddafi stadium ,no,51,yes,T
Mohd Hafeez,Wesindies,national stadium karachi,no,37*,no,f
Mohd Hafeez,westindies,national stadium karachi,no,17*,no,f
Mohd Hafeez,westindies,national stadium karachi,no,Not  bat,no,f
Mohd Hafeez,Scotland,Grange Cricket Club,no,53,no,T
